IATA,Ciudad,Pais
ABI,TEXAS,ESTADOS UNIDOS
ABQ,NUEVO MEXICO,ESTADOS UNIDOS
ASE,COLINA,ESTADOS UNIDOS
ATL,ATLANTA,ESTADOS UNIDOS
AUA,ARUBA,ANTILLAS HOLANDESAS
AUH,ABU DHABI,EMIRATOS ARABE
AUS,TEXAS,ESTADOS UNIDOS
BAQ,BARRANQUILLA,COLOMBIA
BCN,BARCELONA,ESPANA
BDL,CONNECTICUT,ESTADOS UNIDOS
BGI,BRIDGENTOWN,BARBADOS
BHM,ALABAMA,ESTADOS UNIDOS
BIO,BILBAO,ESPANA
BMI,ILLINOIS,ESTADOS UNIDOS
BOG,BOGOTA,COLOMBIA
BOS,BOSTON,ESTADOS UNIDOS
BWI,MARYLAND,ESTADOS UNIDOS
CDG,PARIS,FRANCIA
CHS,CHARLESTON,ESTADOS UNIDOS
CID,SAUL STE,ESTADOS UNIDOS
CLE,OHIO,ESTADOS UNIDOS
CLO,CALI,COLOMBIA
CLT,NORTE DE CAROLINA,ESTADOS UNIDOS
CMH,OHIO,ESTADOS UNIDOS
COS,COLORADO,ESTADOS UNIDOS
CRP,TEXAS,ESTADOS UNIDOS
CUN,CANCUN,MEXICO
CVG,CINCINATTI,ESTADOS UNIDOS
DEN,COLORADO,ESTADOS UNIDOS
DFW,DALAS,ESTADOS UNIDOS
DOH,QATAR,QATAR
DTW,DETROIT,ESTADOS UNIDOS
EGE,COLORADO,ESTADOS UNIDOS
EVV,INDIANA,ESTADOS UNIDOS
EWR,NEW YORK,ESTADOS UNIDOS
EYW,FLORIDA,ESTADOS UNIDOS
FAT,FRESNO YOSEMITE,ESTADOS UNIDOS
FLL,FORT LAUDERDALE,ESTADOS UNIDOS
FPO,PARIS,FRANCIA
FRA,FRANKFURT,ALEMANIA
FSM,FORT SMITH,ESTADOS UNIDOS
FWA,FORT WAYNE,ESTADOS UNIDOS
GCK,GARDEN CITY,ESTADOS UNIDOS
GCM,GRAN CAYMAN,ISLAS CAYMAN
GDL,GUADALAJARA,MEXICO
GNV,GAINESVILLE,ESTADOS UNIDOS
GRK,TEXAS,ESTADOS UNIDOS
GRR,MICHIGAN,ESTADOS UNIDOS
GRU,SAO PAULO,BRASIL
GSO,NORTE DE CAROLINA,ESTADOS UNIDOS
HKG,HONG KONG,HONG KONG
HNL,HONOLULU,ESTADOS UNIDOS
HOU,HOUSTON,ESTADOS UNIDOS
HPN,NEW YORK,ESTADOS UNIDOS
HSV,ALABAMA,ESTADOS UNIDOS
IAD,WASHINGTON,ESTADOS UNIDOS
IAH,HOUSTON,ESTADOS UNIDOS
ICN,INCHEON,KOREA
ICT,KANSAS CITY,ESTADOS UNIDOS
IND,INDIANA,ESTADOS UNIDOS
JAX,FLORIDA,ESTADOS UNIDOS
JFK,NEW YORK,ESTADOS UNIDOS
KIN,KINGSTON,JAMAICA
LAS,LAS VEGAS,ESTADOS UNIDOS
LAX,LOS ANGELES,ESTADOS UNIDOS
LBB,TEXAS,ESTADOS UNIDOS
LHR,LONDRES,INGLATERRA
LIM,LIMA,PERU
LIS,LISBOA,PORTUGAL
