Club;Nacionalidad;Jugadores;Promedio edad;Promedio Rating;Promedio Altura;Promedio Peso
1. FC Heidenheim;Australia;1;24;66;184;77
1. FC Heidenheim;Austria;1;21;64;177;72
1. FC Heidenheim;Bosnia Herzegovina;1;18;54;193;83
1. FC Heidenheim;Germany;19;24.5789473684211;66.8421052631579;184.631578947368;79.1052631578947
1. FC Heidenheim;Netherlands;1;28;67;187;87
1. FC Heidenheim;Poland;1;18;54;185;80
1. FC Heidenheim;Romania;1;28;68;180;77
1. FC Köln;Denmark;1;24;72;194;88
1. FC Köln;France;2;24.5;76;187;83
1. FC Köln;Germany;17;24.2352941176471;70.2941176470588;183.470588235294;78.5294117647059
1. FC Köln;Japan;1;26;75;182;71
1. FC Köln;Latvia;1;29;73;183;81
1. FC Köln;Poland;1;27;73;184;76
1. FC Köln;Serbia;2;26.5;76;184;81
1. FC Köln;Slovenia;1;30;76;186;85
1. FC Nürnberg;Austria;1;28;73;186;85
1. FC Nürnberg;Cameroon;1;24;72;171;71
1. FC Nürnberg;Czech Republic;1;25;69;186;79
1. FC Nürnberg;Georgia;1;23;66;183;73
1. FC Nürnberg;Germany;14;24.0714285714286;66.5;184.285714285714;80.5714285714286
1. FC Nürnberg;Iceland;1;29;69;184;80
1. FC Nürnberg;Ivory Coast;1;30;72;177;71
1. FC Nürnberg;Kazakhstan;1;25;62;179;73
1. FC Nürnberg;Morocco;1;20;60;186;80
1. FC Nürnberg;Netherlands;1;26;69;190;88
1. FC Nürnberg;Norway;1;28;69;191;90
1. FC Nürnberg;Romania;1;29;67;179;75
1. FC Nürnberg;Slovenia;2;30;69.5;183;75.5
1. FC Nürnberg;Sweden;1;23;69;185;81
1. FSV Mainz 05;Argentina;1;29;77;165;65
1. FSV Mainz 05;Austria;1;25;72;188;85
1. FSV Mainz 05;Brazil;1;25;73;182;78
1. FSV Mainz 05;Colombia;1;23;77;185;85
1. FSV Mainz 05;Croatia;1;19;59;187;81
1. FSV Mainz 05;Denmark;3;27.3333333333333;72.3333333333333;189;83.6666666666667
1. FSV Mainz 05;France;3;24.3333333333333;71;184;81.3333333333333
1. FSV Mainz 05;Germany;13;23.2307692307692;69.3846153846154;185;78.6923076923077
1. FSV Mainz 05;Italy;1;27;75;178;76
1. FSV Mainz 05;Japan;1;24;75;179;72
1. FSV Mainz 05;Kosovo;1;22;68;169;68
1. FSV Mainz 05;Nigeria;1;28;75;190;88
1. FSV Mainz 05;Spain;2;24.5;78.5;171;67
1. FSV Mainz 05;Sweden;1;23;74;184;77
1. FSV Mainz 05;Switzerland;1;28;76;183;77
1860 München;Algeria;1;31;70;181;75
1860 München;Austria;1;31;72;175;74
1860 München;Brazil;3;22.3333333333333;71;177.666666666667;73
1860 München;Cameroon;1;20;59;193;78
1860 München;Croatia;1;37;71;182;85
1860 München;Denmark;1;26;72;185;77
1860 München;France;1;23;65;175;74
1860 München;Germany;12;26.25;67.4166666666667;183.833333333333;79.6666666666667
1860 München;Ghana;1;20;63;175;70
1860 München;Hungary;1;25;65;176;67
1860 München;Kosovo;1;25;69;173;70
1860 München;Montenegro;1;24;67;180;76
1860 München;Poland;1;30;72;191;90
1860 München;Senegal;1;26;75;197;79
1860 München;South Africa;1;27;66;170;65
1899 Hoffenheim;Austria;1;19;54;188;76
1899 Hoffenheim;Bosnia Herzegovina;1;27;76;185;85
1899 Hoffenheim;Brazil;1;25;72;170;72
1899 Hoffenheim;Croatia;1;25;78;177;73
1899 Hoffenheim;Czech Republic;1;24;78;182;81
1899 Hoffenheim;Germany;15;24.4;74.2;184.2;78.4666666666667
1899 Hoffenheim;Hungary;1;29;74;193;87
1899 Hoffenheim;Poland;1;31;77;183;78
1899 Hoffenheim;Switzerland;4;24.75;70;184.5;81.75
A. Minas G.;Brazil;20;30.2;69.9;180.75;76.95
Aalborg BK;Albania;1;20;51;180;70
Aalborg BK;Austria;2;23.5;62;186.5;84.5
Aalborg BK;Denmark;19;23.3684210526316;60.7894736842105;182.526315789474;74.6315789473684
Aalborg BK;Peru;1;22;63;170;68
Aalborg BK;Slovakia;1;28;67;178;78
Aalborg BK;Sweden;1;31;69;190;79
Aalborg BK;Uganda;1;21;57;175;65
Aalesunds FK;Brazil;1;23;59;164;58
Aalesunds FK;Denmark;1;25;67;185;80
Aalesunds FK;Finland;1;25;63;185;81
Aalesunds FK;Iceland;3;21.3333333333333;63.3333333333333;184;77.3333333333333
Aalesunds FK;Netherlands;2;26;68;189.5;79.5
Aalesunds FK;Norway;14;23.0714285714286;58.5714285714286;182.285714285714;76.2857142857143
Aalesunds FK;Sweden;1;20;64;179;82
Aarhus GF;Australia;2;22;66;177.5;74
Aarhus GF;Croatia;1;22;64;174;72
Aarhus GF;Denmark;18;24.7222222222222;60.9444444444444;183.666666666667;77.5
Aarhus GF;Iceland;2;28;67;182;76
Aarhus GF;Russia;1;20;68;185;79
Aarhus GF;Serbia;1;24;62;192;85
Aarhus GF;Sierra Leone;1;20;56;188;79
Aarhus GF;Sweden;1;28;68;186;80
Aberdeen;England;5;24.6;62;182.8;75.2
Aberdeen;Northern Ireland;1;29;71;176;70
Aberdeen;Republic of Ireland;4;25;64.75;179.75;76
Aberdeen;Scotland;13;24.1538461538462;62.3846153846154;178.615384615385;69
Aberdeen;Wales;1;26;66;193;76
AC Ajaccio;Cameroon;1;27;62;190;88
AC Ajaccio;Comoros;1;29;69;186;80
AC Ajaccio;DR Congo;1;24;66;185;85
AC Ajaccio;France;18;25.1666666666667;61.8333333333333;177.888888888889;70.4444444444444
AC Ajaccio;Guinea;1;20;53;180;75
AC Ajaccio;Ivory Coast;1;19;54;180;75
AC Ajaccio;Morocco;1;25;66;184;78
AC Ajaccio;Niger;1;28;73;186;79
AC Ajaccio;Senegal;1;21;65;197;93
AC Horsens;Denmark;17;25.9411764705882;59.0588235294118;185.647058823529;76.4705882352941
AC Horsens;DR Congo;1;25;57;188;85
AC Horsens;Faroe Islands;1;24;66;182;77
AC Horsens;Gambia;1;22;67;183;75
AC Horsens;Ghana;1;22;61;169;68
AC Horsens;Iceland;2;28.5;63;189;82
AC Horsens;United States;2;29;67.5;183;78
Accrington;Afghanistan;1;20;55;177;65
