id,label,classname,gender,padoption
1789,1789,1A,M,0.462684786
1780,1780,3A,M,0.266869324
1782,1782,3A,M,0.22828089
1783,1783,1A,M,0.24914149
1787,1787,1A,F,0.642322897
1546,1546,4A,F,0.836243315
1774,1774,1A,F,0.401903259
1545,1545,4A,M,0.06251571
1836,1836,4B,M,0.759676705
1770,1770,1A,F,0.489666419
1772,1772,1A,F,0.234402855
1838,1838,3A,M,0.168010913
1779,1779,1B,M,0.243969147
1778,1778,1A,F,0.922595012
1548,1548,4A,M,0.767070232
1549,1549,4A,M,0.771577856
1775,1775,1A,Unknown,0.885715547
1695,1695,1B,F,0.514138056
1468,1468,5A,M,0.489482514
1674,1674,1B,F,0.706654001
1675,1675,1B,F,0.172497159
1670,1670,1B,F,0.459846818
1673,1673,1B,M,0.673932977
1551,1551,3B,M,0.362706657
1798,1798,1A,M,0.036074521
1759,1759,1A,M,0.78956708
1792,1792,1A,M,0.982942364
1697,1697,1B,M,0.157949894
1790,1790,1A,F,0.185668621
1797,1797,4A,M,0.343337679
1796,1796,1A,F,0.647119864
1795,1795,3A,F,0.845628541
1560,1560,3B,F,0.824208076
1493,1493,5A,F,0.777270669
1495,1495,5A,M,0.733332903
1800,1800,3A,F,0.090061193
1498,1498,5A,M,0.349784479
1555,1555,3B,F,0.423606634
1700,1700,3B,F,0.492857131
1702,1702,2B,F,0.832767308
1552,1552,3B,F,0.184347534
1704,1704,2B,M,0.941833254
1705,1705,4A,M,0.876732885
1706,1706,2B,F,0.635906047
1707,1707,3B,M,0.85991187
1708,1708,2B,M,0.499391805
1558,1558,3B,M,0.043449314
1821,1821,4B,F,0.544311333
1820,1820,3A,M,0.519511952
1822,1822,3A,M,0.169685543
1579,1579,3B,M,0.513654595
1698,1698,1B,M,0.542621204
1668,1668,Teachers,Unknown,0.11793645
1666,1666,1B,M,0.254185711
1665,1665,1B,M,0.319192965
1664,1664,1B,M,0.480815292
1663,1663,1B,F,0.793844865
1661,1661,1B,F,0.534886553
1920,1920,1B,F,0.17536421
1482,1482,5B,M,0.66772181
1922,1922,2A,F,0.696428284
1480,1480,5B,F,0.426327198
1486,1486,5B,M,0.97454887
1709,1709,Teachers,Unknown,0.67411916
1489,1489,5B,F,0.076489814
1713,1713,2B,F,0.074756674
1712,1712,3B,F,0.306265933
1711,1711,1A,F,0.759509726
1710,1710,2B,M,0.853741141
1714,1714,3A,M,0.597957999
1851,1851,2B,M,0.546744459
1719,1719,3A,F,0.565061216
1718,1718,2B,F,0.413895567
1854,1854,2B,F,0.715412302
1855,1855,2B,M,0.702545997
1857,1857,4B,F,0.143003469
1524,1524,4A,F,0.478621898
1525,1525,4A,M,0.727457499
1520,1520,5A,F,0.139978266
1521,1521,Teachers,Unknown,0.717170516
1522,1522,5A,M,0.932305056
1653,1653,Teachers,Unknown,0.628831296
1650,1650,Teachers,Unknown,0.287001993
1656,1656,1B,M,0.970750023
1749,1749,2B,F,0.809202215
1630,1630,4B,M,0.503377643
1833,1833,3A,M,0.422026484
1831,1831,4B,F,0.722742838
1837,1837,4A,M,0.823051887
1437,1437,5B,F,0.763827052
1434,1434,5B,F,0.611853546
1435,1435,5B,M,0.214791299
1641,1641,2A,F,0.272156061
1643,1643,2A,F,0.203499068
1431,1431,5B,F,0.695361057
1843,1843,3A,M,0.26161584
1727,1727,3B,F,0.981009923
1835,1835,4B,F,0.804991697
1722,1722,3A,F,0.302035787
1723,1723,3A,M,0.305427475
1720,1720,3A,F,0.596022716
1439,1439,5B,M,0.112796606
1731,1731,3B,M,0.544465772
1533,1533,4A,M,0.409634389
1532,1532,4A,M,0.834172952
1730,1730,4A,Unknown,0.224461031
1458,1458,5A,M,0.743057977
1539,1539,4A,F,0.654431246
1538,1538,4A,F,0.897867173
1570,1570,3B,F,0.310450129
1877,1877,2B,F,0.223844732
1872,1872,2B,F,0.374432409
1908,1908,1B,M,0.973216508
1909,1909,3A,M,0.150429615
1906,1906,2A,F,0.098475637
1907,1907,2A,F,0.13888952
1902,1902,2A,M,0.70590679
1682,1682,1B,F,0.418512329
1739,1739,2B,M,0.260773772
1738,1738,3A,F,0.83416594
1632,1632,4B,F,0.198302391
1427,1427,5B,F,0.829966153
1637,1637,5A,Unknown,0.744940402
1429,1429,5B,F,0.734796334
1428,1428,5B,M,0.552032595
1580,1580,3B,M,0.828554069
1732,1732,2B,M,0.054038533
1735,1735,3B,M,0.359356047
1737,1737,3A,M,0.482586372
1585,1585,5B,M,0.221369835
1502,1502,5A,F,0.447399771
1503,1503,4A,F,0.854765887
1500,1500,4A,M,0.259555186
1501,1501,5A,F,0.25847137
1504,1504,4A,F,0.766371403
1767,1767,1A,M,0.098848917
1609,1609,2A,F,0.021681261
1572,1572,3B,F,0.673498953
